date,agent,dau,category,color
2023-01,ChatGPT,1013942,通用助手,#10A37F
2023-01,Claude,188600,通用助手,#CC785C
2023-01,Copilot,491001,编程助手,#0078D4
2023-01,Gemini,94464,通用助手,#4285F4
2023-01,Cursor,32128,编程助手,#7B61FF
2023-01,Perplexity,83392,搜索/研究,#D4AF37
2023-01,文心一言,311765,通用助手,#E74C3C
2023-01,通义千问,141325,通用助手,#FF6B35
2023-01,Kimi,19375,通用助手,#00C4B4
2023-01,Notion AI,388715,效率工具,#1A1A1A
2023-01,Midjourney,572989,多模态,#9B59B6
2023-01,Stable Diffusion,350224,多模态,#8E44AD
2023-01,ChatGPT,1066972,通用助手,#10A37F
2023-01,Claude,227471,通用助手,#CC785C
2023-01,Copilot,556594,编程助手,#0078D4
2023-01,Gemini,126123,通用助手,#4285F4
2023-01,Cursor,37103,编程助手,#7B61FF
2023-01,Perplexity,106228,搜索/研究,#D4AF37
2023-01,文心一言,334025,通用助手,#E74C3C
2023-01,通义千问,160581,通用助手,#FF6B35
2023-01,Kimi,32547,通用助手,#00C4B4
2023-01,Notion AI,433088,效率工具,#1A1A1A
2023-01,Midjourney,613897,多模态,#9B59B6
2023-01,Stable Diffusion,355661,多模态,#8E44AD
2023-03,ChatGPT,1311752,通用助手,#10A37F
2023-03,Claude,273019,通用助手,#CC785C
2023-03,Copilot,585288,编程助手,#0078D4
2023-03,Gemini,143647,通用助手,#4285F4
2023-03,Cursor,60374,编程助手,#7B61FF
2023-03,Perplexity,138565,搜索/研究,#D4AF37
2023-03,文心一言,360667,通用助手,#E74C3C
2023-03,通义千问,204755,通用助手,#FF6B35
2023-03,Kimi,42659,通用助手,#00C4B4
2023-03,Notion AI,470960,效率工具,#1A1A1A
2023-03,Midjourney,648644,多模态,#9B59B6
2023-03,Stable Diffusion,395715,多模态,#8E44AD
2023-04,ChatGPT,1451206,通用助手,#10A37F
2023-04,Claude,333279,通用助手,#CC785C
2023-04,Copilot,684757,编程助手,#0078D4
2023-04,Gemini,198334,通用助手,#4285F4
2023-04,Cursor,78341,编程助手,#7B61FF
2023-04,Perplexity,156601,搜索/研究,#D4AF37
2023-04,文心一言,367630,通用助手,#E74C3C
2023-04,通义千问,221404,通用助手,#FF6B35
2023-04,Kimi,50724,通用助手,#00C4B4
2023-04,Notion AI,482160,效率工具,#1A1A1A
2023-04,Midjourney,650233,多模态,#9B59B6
2023-04,Stable Diffusion,405749,多模态,#8E44AD
2023-05,ChatGPT,1594869,通用助手,#10A37F
2023-05,Claude,381466,通用助手,#CC785C
2023-05,Copilot,724447,编程助手,#0078D4
2023-05,Gemini,229956,通用助手,#4285F4
2023-05,Cursor,92679,编程助手,#7B61FF
2023-05,Perplexity,252432,搜索/研究,#D4AF37
2023-05,文心一言,414188,通用助手,#E74C3C
2023-05,通义千问,266359,通用助手,#FF6B35
2023-05,Kimi,76780,通用助手,#00C4B4
2023-05,Notion AI,531526,效率工具,#1A1A1A
2023-05,Midjourney,690026,多模态,#9B59B6
2023-05,Stable Diffusion,435475,多模态,#8E44AD
2023-05,ChatGPT,1848612,通用助手,#10A37F
2023-05,Claude,465238,通用助手,#CC785C
2023-05,Copilot,808923,编程助手,#0078D4
2023-05,Gemini,316443,通用助手,#4285F4
2023-05,Cursor,148357,编程助手,#7B61FF
2023-05,Perplexity,316709,搜索/研究,#D4AF37
2023-05,文心一言,428854,通用助手,#E74C3C
2023-05,通义千问,281940,通用助手,#FF6B35
2023-05,Kimi,118731,通用助手,#00C4B4
2023-05,Notion AI,553202,效率工具,#1A1A1A
2023-05,Midjourney,730357,多模态,#9B59B6
2023-05,Stable Diffusion,493272,多模态,#8E44AD
2023-06,ChatGPT,2048110,通用助手,#10A37F
2023-06,Claude,527903,通用助手,#CC785C
2023-06,Copilot,896795,编程助手,#0078D4
2023-06,Gemini,373507,通用助手,#4285F4
2023-06,Cursor,204188,编程助手,#7B61FF
2023-06,Perplexity,382331,搜索/研究,#D4AF37
2023-06,文心一言,464869,通用助手,#E74C3C
2023-06,通义千问,334651,通用助手,#FF6B35
2023-06,Kimi,190445,通用助手,#00C4B4
2023-06,Notion AI,591746,效率工具,#1A1A1A
2023-06,Midjourney,814939,多模态,#9B59B6
2023-06,Stable Diffusion,520183,多模态,#8E44AD
2023-07,ChatGPT,2188442,通用助手,#10A37F
2023-07,Claude,615636,通用助手,#CC785C
2023-07,Copilot,1013140,编程助手,#0078D4
2023-07,Gemini,477745,通用助手,#4285F4
2023-07,Cursor,215076,编程助手,#7B61FF
2023-07,Perplexity,447426,搜索/研究,#D4AF37
2023-07,文心一言,494077,通用助手,#E74C3C
2023-07,通义千问,406122,通用助手,#FF6B35
2023-07,Kimi,301018,通用助手,#00C4B4
2023-07,Notion AI,639312,效率工具,#1A1A1A
2023-07,Midjourney,785300,多模态,#9B59B6
2023-07,Stable Diffusion,518794,多模态,#8E44AD
2023-08,ChatGPT,2598801,通用助手,#10A37F
2023-08,Claude,754398,通用助手,#CC785C
2023-08,Copilot,1112186,编程助手,#0078D4
2023-08,Gemini,639054,通用助手,#4285F4
2023-08,Cursor,282466,编程助手,#7B61FF
2023-08,Perplexity,687154,搜索/研究,#D4AF37
2023-08,文心一言,565369,通用助手,#E74C3C
2023-08,通义千问,461228,通用助手,#FF6B35
2023-08,Kimi,1240280,通用助手,#00C4B4
2023-08,Notion AI,693087,效率工具,#1A1A1A
2023-08,Midjourney,831377,多模态,#9B59B6
2023-08,Stable Diffusion,553479,多模态,#8E44AD
2023-09,ChatGPT,2760245,通用助手,#10A37F
2023-09,Claude,935399,通用助手,#CC785C
2023-09,Copilot,1214423,编程助手,#0078D4
2023-09,Gemini,709800,通用助手,#4285F4
2023-09,Cursor,446890,编程助手,#7B61FF
2023-09,Perplexity,782931,搜索/研究,#D4AF37
2023-09,文心一言,624446,通用助手,#E74C3C
2023-09,通义千问,555053,通用助手,#FF6B35
2023-09,Kimi,1823493,通用助手,#00C4B4
2023-09,Notion AI,741514,效率工具,#1A1A1A
2023-09,Midjourney,947025,多模态,#9B59B6
2023-09,Stable Diffusion,566683,多模态,#8E44AD
2023-10,ChatGPT,3187380,通用助手,#10A37F
2023-10,Claude,1051713,通用助手,#CC785C
2023-10,Copilot,1325778,编程助手,#0078D4
2023-10,Gemini,936976,通用助手,#4285F4
2023-10,Cursor,2051282,编程助手,#7B61FF
2023-10,Perplexity,1056324,搜索/研究,#D4AF37
2023-10,文心一言,616555,通用助手,#E74C3C
2023-10,通义千问,643288,通用助手,#FF6B35
2023-10,Kimi,3311599,通用助手,#00C4B4
2023-10,Notion AI,802519,效率工具,#1A1A1A
2023-10,Midjourney,947237,多模态,#9B59B6
2023-10,Stable Diffusion,593545,多模态,#8E44AD
2023-11,ChatGPT,3610042,通用助手,#10A37F
2023-11,Claude,1301433,通用助手,#CC785C
2023-11,Copilot,1379271,编程助手,#0078D4
2023-11,Gemini,1160891,通用助手,#4285F4
2023-11,Cursor,2836305,编程助手,#7B61FF
2023-11,Perplexity,1523400,搜索/研究,#D4AF37
2023-11,文心一言,718086,通用助手,#E74C3C
2023-11,通义千问,661552,通用助手,#FF6B35
2023-11,Kimi,4128866,通用助手,#00C4B4
2023-11,Notion AI,844456,效率工具,#1A1A1A
2023-11,Midjourney,987627,多模态,#9B59B6
2023-11,Stable Diffusion,694098,多模态,#8E44AD
2023-12,ChatGPT,3866030,通用助手,#10A37F
2023-12,Claude,1407111,通用助手,#CC785C
2023-12,Copilot,1574147,编程助手,#0078D4
2023-12,Gemini,1522110,通用助手,#4285F4
2023-12,Cursor,4003064,编程助手,#7B61FF
2023-12,Perplexity,5338869,搜索/研究,#D4AF37
2023-12,文心一言,792857,通用助手,#E74C3C
2023-12,通义千问,819377,通用助手,#FF6B35
2023-12,Kimi,5896924,通用助手,#00C4B4
2023-12,Notion AI,901826,效率工具,#1A1A1A
2023-12,Midjourney,1012174,多模态,#9B59B6
2023-12,Stable Diffusion,681002,多模态,#8E44AD
2024-01,ChatGPT,4292841,通用助手,#10A37F
2024-01,Claude,1738097,通用助手,#CC785C
2024-01,Copilot,1688866,编程助手,#0078D4
2024-01,Gemini,1717205,通用助手,#4285F4
2024-01,Cursor,5172338,编程助手,#7B61FF
2024-01,Perplexity,7497719,搜索/研究,#D4AF37
2024-01,文心一言,793771,通用助手,#E74C3C
2024-01,通义千问,975301,通用助手,#FF6B35
2024-01,Kimi,10028886,通用助手,#00C4B4
2024-01,Notion AI,939117,效率工具,#1A1A1A
2024-01,Midjourney,1083962,多模态,#9B59B6
2024-01,Stable Diffusion,761662,多模态,#8E44AD
2024-02,ChatGPT,4747456,通用助手,#10A37F
2024-02,Claude,3879808,通用助手,#CC785C
2024-02,Copilot,1964903,编程助手,#0078D4
2024-02,Gemini,2306043,通用助手,#4285F4
2024-02,Cursor,7948381,编程助手,#7B61FF
2024-02,Perplexity,10095199,搜索/研究,#D4AF37
2024-02,文心一言,908253,通用助手,#E74C3C
2024-02,通义千问,1015353,通用助手,#FF6B35
2024-02,Kimi,10663362,通用助手,#00C4B4
2024-02,Notion AI,1027146,效率工具,#1A1A1A
2024-02,Midjourney,1173433,多模态,#9B59B6
2024-02,Stable Diffusion,788185,多模态,#8E44AD
2024-03,ChatGPT,5598951,通用助手,#10A37F
2024-03,Claude,4889138,通用助手,#CC785C
2024-03,Copilot,2169523,编程助手,#0078D4
2024-03,Gemini,2613897,通用助手,#4285F4
2024-03,Cursor,10502953,编程助手,#7B61FF
2024-03,Perplexity,11810828,搜索/研究,#D4AF37
2024-03,文心一言,986069,通用助手,#E74C3C
2024-03,通义千问,1177610,通用助手,#FF6B35
2024-03,Kimi,16149668,通用助手,#00C4B4
2024-03,Notion AI,1100209,效率工具,#1A1A1A
2024-03,Midjourney,1231766,多模态,#9B59B6
2024-03,Stable Diffusion,816504,多模态,#8E44AD
2024-04,ChatGPT,5977015,通用助手,#10A37F
2024-04,Claude,5938664,通用助手,#CC785C
2024-04,Copilot,2287033,编程助手,#0078D4
2024-04,Gemini,9523669,通用助手,#4285F4
2024-04,Cursor,14826182,编程助手,#7B61FF
2024-04,Perplexity,14247493,搜索/研究,#D4AF37
2024-04,文心一言,1079098,通用助手,#E74C3C
2024-04,通义千问,1469675,通用助手,#FF6B35
2024-04,Kimi,31743566,通用助手,#00C4B4
2024-04,Notion AI,1211074,效率工具,#1A1A1A
2024-04,Midjourney,1382796,多模态,#9B59B6
2024-04,Stable Diffusion,853520,多模态,#8E44AD
2024-05,ChatGPT,6856182,通用助手,#10A37F
2024-05,Claude,6439819,通用助手,#CC785C
2024-05,Copilot,2507227,编程助手,#0078D4
2024-05,Gemini,10122203,通用助手,#4285F4
2024-05,Cursor,19001747,编程助手,#7B61FF
2024-05,Perplexity,23179117,搜索/研究,#D4AF37
2024-05,文心一言,1083942,通用助手,#E74C3C
2024-05,通义千问,1678385,通用助手,#FF6B35
2024-05,Kimi,38059847,通用助手,#00C4B4
2024-05,Notion AI,1257689,效率工具,#1A1A1A
2024-05,Midjourney,1475836,多模态,#9B59B6
2024-05,Stable Diffusion,998501,多模态,#8E44AD
2024-06,ChatGPT,7732851,通用助手,#10A37F
2024-06,Claude,8075546,通用助手,#CC785C
2024-06,Copilot,2703186,编程助手,#0078D4
2024-06,Gemini,13313538,通用助手,#4285F4
2024-06,Cursor,30361786,编程助手,#7B61FF
2024-06,Perplexity,27502182,搜索/研究,#D4AF37
2024-06,文心一言,1203864,通用助手,#E74C3C
2024-06,通义千问,1920763,通用助手,#FF6B35
2024-06,Kimi,46243559,通用助手,#00C4B4
2024-06,Notion AI,1358801,效率工具,#1A1A1A
2024-06,Midjourney,1444630,多模态,#9B59B6
2024-06,Stable Diffusion,1041303,多模态,#8E44AD
2024-07,ChatGPT,8317716,通用助手,#10A37F
2024-07,Claude,9799217,通用助手,#CC785C
2024-07,Copilot,2955234,编程助手,#0078D4
2024-07,Gemini,16257221,通用助手,#4285F4
2024-07,Cursor,36959968,编程助手,#7B61FF
2024-07,Perplexity,36561492,搜索/研究,#D4AF37
2024-07,文心一言,1260426,通用助手,#E74C3C
2024-07,通义千问,2021162,通用助手,#FF6B35
2024-07,Kimi,94208717,通用助手,#00C4B4
2024-07,Notion AI,1424583,效率工具,#1A1A1A
2024-07,Midjourney,1539099,多模态,#9B59B6
2024-07,Stable Diffusion,1074130,多模态,#8E44AD
2024-08,ChatGPT,17223075,通用助手,#10A37F
2024-08,Claude,11067231,通用助手,#CC785C
2024-08,Copilot,3369880,编程助手,#0078D4
2024-08,Gemini,23569281,通用助手,#4285F4
2024-08,Cursor,44208663,编程助手,#7B61FF
2024-08,Perplexity,47978534,搜索/研究,#D4AF37
2024-08,文心一言,1361747,通用助手,#E74C3C
2024-08,通义千问,2419162,通用助手,#FF6B35
2024-08,Kimi,126271162,通用助手,#00C4B4
2024-08,Notion AI,1529299,效率工具,#1A1A1A
2024-08,Midjourney,1545155,多模态,#9B59B6
2024-08,Stable Diffusion,1156423,多模态,#8E44AD
2024-09,ChatGPT,18615654,通用助手,#10A37F
2024-09,Claude,12864790,通用助手,#CC785C
2024-09,Copilot,3847672,编程助手,#0078D4
2024-09,Gemini,29794398,通用助手,#4285F4
2024-09,Cursor,57107877,编程助手,#7B61FF
2024-09,Perplexity,55213409,搜索/研究,#D4AF37
2024-09,文心一言,1474691,通用助手,#E74C3C
2024-09,通义千问,2994474,通用助手,#FF6B35
2024-09,Kimi,197428052,通用助手,#00C4B4
2024-09,Notion AI,1693914,效率工具,#1A1A1A
